ADKT,ADIRONDACK TR CO,04/21/2016,NASDAQ-OTC
ADLI,AMER MEDICAL TECH,04/21/2016,NASDAQ-OTC
ADLS,ADVANCED LIFE SCIENC,04/21/2016,NASDAQ-OTC
ADMA,ADMA BIOLOGICS CMN,04/21/2016,NASDAQ-OTC
ADMD,ADVANCED MEDICAL ISO,04/21/2016,NASDAQ-OTC
ADMG,ADAMANT DRI PROCESSI,04/21/2016,NASDAQ-OTC
ADMP,ADAMIS PHARMACEUTICALS,04/21/2016,NASDAQ-OTC
ADMS,ADAMAS PHARMACEUTICALS IN,04/21/2016,NASDAQ-OTC
ADMT,ADM TRONICS UNLTD,04/21/2016,NASDAQ-OTC
ADNY,ADINO ENERGY CORP,04/21/2016,NASDAQ-OTC
ADOCY,ADOCIA,04/21/2016,NASDAQ-OTC
ADOOY,ADARO ENERGY,04/21/2016,NASDAQ-OTC
ADPAJ,ADELPHIA RECOVERY TR,04/21/2016,NASDAQ-OTC
ADPAS,ADELPHIA RECOVERY TR,04/21/2016,NASDAQ-OTC
ADPBK,ADELPHIA RECOVERY TRUST,04/21/2016,NASDAQ-OTC
ADPT,ADEPTUS HEALTH INC,04/21/2016,NASDAQ-OTC
ADPXY,AUDIO PIXELS HL ADR,04/21/2016,NASDAQ-OTC
ADRA,BLDRS ASIA 50 ADR INDEX,04/21/2016,NASDAQ-OTC
ADRD,BLDRS DEVELOPED MARKETS 10,04/21/2016,NASDAQ-OTC
ADRE,BLDRS EMERGING MARKETS 50,04/21/2016,NASDAQ-OTC
ADRGF,AMADOR GOLD CORP,04/21/2016,NASDAQ-OTC
ADRNF,ADERANS CO LTD,04/21/2016,NASDAQ-OTC
ADRO,ADURO BIOTECH INC. COMMON,04/21/2016,NASDAQ-OTC
ADRU,BLDRS EUROPE 100 ADR INDEX,04/21/2016,NASDAQ-OTC
ADRZF,ANDRITZ AG GRAZ,04/21/2016,NASDAQ-OTC
ADRZY,ANDRITZ AG UNSP ADR,04/21/2016,NASDAQ-OTC
ADSK,AUTODESK,04/21/2016,NASDAQ-OTC
ADST,ADSTAR INC,04/21/2016,NASDAQ-OTC
ADSV,ALLIED SECURITY INNO,04/21/2016,NASDAQ-OTC
ADTC,ADVANCED DEPOSITION TECHNO,04/21/2016,NASDAQ-OTC
ADTM,ADAPTIVE MEDIAS,04/21/2016,NASDAQ-OTC
ADTN,ADTRAN,04/21/2016,NASDAQ-OTC
ADTR,ALLIANCE MEDIA HOLDINGS IN,04/21/2016,NASDAQ-OTC
ADTY,ADTEGRITY.COM INTL I,04/21/2016,NASDAQ-OTC
ADUS,ADDUS HOMECARE,04/21/2016,NASDAQ-OTC
ADVC,ADVANT-E CORPORATION,04/21/2016,NASDAQ-OTC
ADVOF,ADVA OPTICAL NTWKNG,04/21/2016,NASDAQ-OTC
ADVT,ADVANTIS CORPORATION COMMO,04/21/2016,NASDAQ-OTC
ADWPF,ANDREW PELLER LTD CL,04/21/2016,NASDAQ-OTC
ADXS,ADVAXIS INC. COMMON STOCK,04/21/2016,NASDAQ-OTC
ADXSW,ADVAXIS INC. WARRANTS,04/21/2016,NASDAQ-OTC
ADYNF,ALGAE DYNAMICS CORP ORDINA,04/21/2016,NASDAQ-OTC
AEBZY,ANADOLU EFES BIRCK,04/21/2016,NASDAQ-OTC
AEDC,AMERICAN ENERGY DEV,04/21/2016,NASDAQ-OTC
AEEI,AMERICAN ENVIRONMENT,04/21/2016,NASDAQ-OTC
