@JSA,AMEX NET TICK
S@TPP,PSE PUT TICKS
S@TRIN,NYSE TRIN
S@TSA,AMEX TICK ISSUES
S@TSC,TORONTO STOCKS COMBINED
S@TSN,NYSE ISSUES TICKS 
S@TSR,NASDAQ 3RD MKT TICKS
S@TSS,NASDAQ SM CAP TICKS
S@TST,NASDAQ NMS ISSUES TICKS
S@TSZ,NASDAQ COMB ISSUES TICKS
S@VCA,AMEX CALL VOLUME
S@VCC,CBOE CALL VOLUME
S@VCP,PSE CALL VOLUME
S@VCX,PHLX CALL VOLUME
S@VIAA,AMEX ISSUES VOLUME UP
S@VIAD,AMEX ISSUES VOLUME DOWN
S@VIAU,AMEX ISSUES VOLUME UNCHANG
S@VINA,NYSE ISSUES VOLUME UP
S@VIND,NYSE ISSUES VOLUME DOWN
S@VINU,NYSE ISSUES VOLUME UNCHG
S@VIQA,NASDAQ ISSUES VOLUME UP
S@VIQD,NASDAQ ISSUES VOLUME DOWN 
S@VIQU,NASDAQ ISSUES VOLUME UNCHG
