/BEX,BENTON RESOURCES INC,04/21/2016
/BEY,BLACKSTEEL ENERGY INC,04/21/2016
/BFD,BEAUFIELD RESOURCES INC,04/21/2016
/BFF,NEVADA ENERGY METALS INC,04/21/2016
/BFK P,BFK CAPITAL CORP CPT,04/21/2016
/BG,BARISAN GOLD CORP,04/21/2016
/BGA,BIONEUTRA GLOBAL CORPORAT,04/21/2016
/BGD,BULLION GOLD RESOURCES CO,04/21/2016
/BGE,BISON GOLD RESOURCES INC,04/21/2016
/BGG,BUCCANEER GOLD CORP,04/21/2016
/BGI UN,BROOKFIELD GLOBAL INFRAST,04/21/2016
/BGL,BANDERA GOLD LTD,04/21/2016
/BGM,BARKERVILLE GOLD MINES LT,04/21/2016
/BGS,BAROYECA GOLD & SILVER IN,04/21/2016
/BHK,BHK MINING CORP,04/21/2016
/BHR,BLACKHEATH RESOURCES INC,04/21/2016
/BHS,BAYHORSE SILVER INC,04/21/2016
/BHT,BRAVEHEART RESOURCES INC,04/21/2016
/BHV,BELLHAVEN COPPER & GOLD I,04/21/2016
/BHY UN,BROOKFIELD HIGH YIELD STR,04/21/2016
/BIG-D,BIG 8 SPLIT INC CLASS D P,04/21/2016
/BIG D,BIG 8 SPLIT INC CLASS D C,04/21/2016
/BIN,IESI-BFC LTD,04/21/2016
/BIO,BIOSIGN TECHNOLOGIES INC,04/21/2016
/BIP-A,BROOKFIELD INFSTCTR PTNR,04/21/2016
/BIP-B,BROOKFIELD INFSTCR PTNR L,04/21/2016
/BIP UN,BROOKFIELD INFRASTRUCTURE,04/21/2016
/BIR,BIRCHCLIFF ENERGY LTD,04/21/2016
/BIR-A,BIRCHCLIFF ENERGY LTD 5 Y,04/21/2016
/BIR-C,BIRCHCLIFF ENERGY LTD SER,04/21/2016
/BIT,BLACK ISLE RESOURCES CORP,04/21/2016
/BK,CANADIAN BANC CORP,04/21/2016
/BK-A,CANADIAN BANC CORP PREF A,04/21/2016
/BKD,BREAKING DATA CORP,04/21/2016
/BKI,BLACK IRON INC,04/21/2016
/BKL,POWERSHARES SENIOR LOAN C,04/21/2016
/BKM,PACIFIC BOOKER MINERALS I,04/21/2016
/BKR,BERKWOOD RESOURCES LTD,04/21/2016
/BKX,BNK PETROLEUM INC,04/21/2016
/BLB UN,BLOOM SELECT INCOME FUND,04/21/2016
/BLC P,BLACK LION CAPITAL CORP C,04/21/2016
/BLD,BALLARD POWER SYSTEM INC,04/21/2016
/BLM,BLUMETRIC ENVIRONMENTAL I,04/21/2016
/BLN,BLACKLINE SAFETY CORP,04/21/2016
/BLR,BLACKHAWK RESOURCE CORP,04/21/2016
/BLU,BELLUS HEALTH INC,04/21/2016
/BLX,BORALEX IND,04/21/2016
/BM,BC MOLY LTD,04/21/2016
/BME,BARSELE MINERALS CORP,04/21/2016
/BMG,BATTLE MOUNTAIN GOLD INC,04/21/2016
/BMK,MACDONALD MINES EXPLORATI,04/21/2016
/BML,BARKER MINERALS LTD,04/21/2016
/BMM,BLACK MAMMOTH METALS CORP,04/21/2016
/BMO,BANK OF MONTREAL,04/21/2016
/BMO-K,BANK OF MONTREAL,04/21/2016
/BMO-L,BANK OF MONTREAL,04/21/2016
/BMO-M,BANK OF MONTREAL PREF CLA,04/21/2016
/BMO-Q,BANK OF MONTREAL 5-YEAR R,04/21/2016
/BMO-R,BANK OF MONTREAL,04/21/2016
/BMO-S,BANK OF MONTREAL PREF S,04/21/2016
/BMO-T,BANK OF MONTREAL CLASS B,04/21/2016
/BMO-W,BANK OF MONTREAL PFD SER,04/21/2016
/BMO-Y,BANK OF MONTREAL PFD SER,04/21/2016
/BMO-Z,BANK MONTREAL NC CLASS B,04/21/2016
/BMR H,BRADMER PHARMACEUTICALS I,04/21/2016
/BMW,BEIJING MARVEL CLEANSING,04/21/2016
/BND,PURPOSE TACTICAL INVSTMT,04/21/2016
/BNE,BONTERRA ENERGY CORP,04/21/2016
/BNG,BENGAL ENERGY LTD,04/21/2016
/BNK,BANKERS PETROLEUM LTD,04/21/2016
/BNP,BONAVISTA ENERGY CORP,04/21/2016
/BNR,BRIONOR RESOURCES INC,04/21/2016
/BNS,BANK OF NOVA SCOTIA,04/21/2016
/BNS-A,THE BANK OF NOVA SCOTIA P,04/21/2016
/BNS-B,THE BANK OF NOVA SCOTIA P,04/21/2016
/BNS-C,THE BANK OF NOVA SCOTIA P,04/21/2016
/BNS-D,BANK OF NOVA SCOTIA CLASS,04/21/2016
/BNS-E,BANK OF NOVA SCOTIA PFD S,04/21/2016
/BNS-F,BANK OF NOVA SCOTIA PFD S,04/21/2016
/BNS-G,BANK OF NOVA SCOTIA CLASS,04/21/2016
/BNS-L,THE BANK OF NOVA SCOTIA,04/21/2016
/BNS-M,THE BANK OF NOVA SCOTIA,04/21/2016
/BNS-N,BANK OF NOVA SCOTIA,04/21/2016
/BNS-O,THE BANK OF NOVA SCOTIA,04/21/2016
/BNS-P,BANK OF NOVA SCOTIA,04/21/2016
/BNS-Q,BANK OF NOVS SR 20 PR,04/21/2016
/BNS-R,BANK OF NOVA SCOTIA,04/21/2016
/BNS-Y,BANK OF NOVA SCOTIA,04/21/2016
/BNS-Z,BANK OF NS 3.7 FFIVE YEAR,04/21/2016
/BN H,BLUENOSE GOLD CORP,04/21/2016
/BOB,GLOBAL HUNTER CORP,04/21/2016
/BOC,BLUEOCEAN NUTRASCIENCES I,04/21/2016
/BOE,AMERICAS PETROGAS INC,04/21/2016
/BOL,BOLD VENTURES INC,04/21/2016
/BOR,BORDER PETROLEUM LIMITED,04/21/2016
/BOS,AIRBOSS OF AMERICA CORP,04/21/2016
/BOW,BOWMORE EXPLORATION LTD,04/21/2016
/BOX UN,BROOKFIELD CANADA OFFICE,04/21/2016
/BOY,BOYUAN CONSTRUCTION GROUP,04/21/2016
/BPE,BRIGHTPATH EARLY LEARNING,04/21/2016
/BPF UN,BOSTON PIZZA ROYALTIES IN,04/21/2016
/BPL,BLUEDROP PERFORMANCE LEAR,04/21/2016
/BPO-A,BROOKFIELD OFFICE PROPERT,04/21/2016
