BNK,C1 FINANCIAL INC,04/21/2016
BNO,UNITED STATES BRENT OIL,04/21/2016
BNS,BANK OF NOVA,04/21/2016
BNY,BLACKROCK NY MUNICIPAL INC,04/21/2016
BOE,BLACKROCK GLOBAL OPPORTUNI,04/21/2016
BOH,BANK OF HAWAII,04/21/2016
BOI,BROOKFIELD MORTGAGE OPP IN,04/21/2016
BOM,POWERSHARES DB BASE METALS,04/21/2016
BOS,POWERSHARES DB BASE METALS,04/21/2016
BOX,BOX INC,04/21/2016
BP,BP,04/21/2016
BPI,BRIDGEPOINT EDUCATION,04/21/2016
BPK,BLACKROCK MUNI 2018 TERM T,04/21/2016
BPL,BUCKEYE PARTNERS L.P.,04/21/2016
BPT,BP PRUDHOE BAY,04/21/2016
BPY,BROOKFIELD PROPERTY PARTNE,04/21/2016
BQH,BLACKROCK NY MUNICIPAL BON,04/21/2016
BR,BROADRIDGE,04/21/2016
BRC,BRADY,04/21/2016
BRF,MARKET VECTORS BRAZIL SMAL,04/21/2016
BRG,BLUEROCK RESIDENTIAL GROWT,04/21/2016
BRK A,BERKSHIRE HATHAWAY,04/21/2016
BRK B,BERKSHIRE HATHAWAY,04/21/2016
BRN,BARNWELL INDUSTRIES,04/21/2016
BRO,BROWN & BROWN,04/21/2016
BRS,BRISTOW GROUP,04/21/2016
BRT,BRT REALTY TRUST,04/21/2016
BRX,BRIXMOR PROPERTY GROUP INC,04/21/2016
BSD,BLACKROCK STRATEGIC MUNI C,04/21/2016
BSE,BLACKROCK NY INS MUNI IN Q,04/21/2016
BSF,BEAR STATE FINANCIAL INC,04/21/2016
BSI,ALON BLUE SQUARE ISRAEL LT,04/21/2016
BSL,BLACKSTONE/GSO SENIOR FLOA,04/21/2016
BSM,BLACK STONE MINERALS LP,04/21/2016
BST,BLACKROCK SCIENCE AND TECH,04/21/2016
BSV,VANGUARD SHORT-TERM BOND E,04/21/2016
BSX,BOSTON SCIENTIFIC,04/21/2016
BT,BT GROUP,04/21/2016
BTA,BLACKROCK LONG-TERM MUNI A,04/21/2016
BTE,BAYTEX ENERGY,04/21/2016
BTG,B2GOLD CORP.,04/21/2016
BTI,BRITISH AMERICAN TOBACCO,04/21/2016
BTN,BALLANTYNE STRONG,04/21/2016
BTO,JH BANK & THRIFT OPPORTUNI,04/21/2016
BTT,BLACKROCK MUNI 2030 TARGET,04/21/2016
BTU,PEABODY ENERGY,04/21/2016
BTX,BIOTIME,04/21/2016
BTXw,BIOTIME WTS,04/21/2016
BTZ,BLACKROCK CREDIT ALLOCATIO,04/21/2016
BUD,ANHEUSER-BUSCH INBEV,04/21/2016
BUI,BLACKROCK UTIL & INFRA TRU,04/21/2016
BUR,BURCON NUTRASCIENCE,04/21/2016
BUZ,SPROTT BUZZ SOCIAL MEDIA I,04/21/2016
BV,BAZAARVOICE,04/21/2016
BVA,CORDIA BANCORP INC. COMMON,04/21/2016
