SYMBOL	nAME
QMNG	HENRY HUB NATURAL GAS LAST DAY
QMNS	MINI 1% FUEL OIL CARGOES FOB NWE CRACK
QMPX	NY HARBOR ULSD FINANCIAL
QMSB	MINI SINGAPORE FUEL OIL VS 3.5% FUEL
QN3	PJM NO. ILLINOIS -PEAK LMP
QN4	TEXAS GAS ZONE 1 NATURAL GAS INDEX
QN7	ALGONQUIN CITY-GATES NAT GAS IDX
QN9	PJM WEST OFF_PEAK RT LMP
QNB	CHICAGO BASIS
QND	ANR LOUISANA BASIS
QNE	ANR OKLAHOMA BASIS
QNF	MICHCON BASIS
QNFS	NGPL MID-CON NATURAL GAS FIXED PRICE
QNG	NATURAL GAS
QNH	HOUSTON SHIP CHANNEL BASIS SWAP
QNJ	SAN JUAN BASIS
QNK	SUMAS BASIS
QNL	NGPL MIDCONTINENT BASIS
QNM	TENNESSEE 500 LEG BASIS
QNN	HENRY HUB NATURAL GAS FINCL
QNNE	HENRY HUB NATURAL GAS LAST DAY BTU/MO
QNQ	TENNESSEE ZONE 0 BASIS
QNR	NW PIPELINE ROCKIES BASIS
QNS	SOCAL BASIS
QNU	TRUNKLINE LA BASIS
QNW	WAHA BASIS
QNX	TEXAS EASTERN ZONE M-3 INDEX
QNZ	TRANSCO ZONE 6 BASIS
QPA	PALLADIUM
QPB	PG&E MALIN BASIS
QPC	PG&E CITYGATE BASIS
QPD	NGPL TEXOK BASIS
QPE	NORTHERN NG DEMARCATION BASIS
QPF	VENTURA BASIS
QPFS	PERMIAN NATURAL GAS FIXED PRICE
QPG	DOMINION TRANSMISSION APPALACHIA
QPH	PANHANDLE BASIS
QPJ	PJM ELECTRICITY (MONTHLY)
QPL	PLATINUM
QPM	PERMIAN BASIS
QQFM	ONTARIO OFF-PEAK CALENDAR MONTH
QQH3	MIDWEST ISO IND 5 MW PEAK CAL MONTH
QQOM	ILLINOIS HUB PEAK MONTH
QQP	WESTERN RAIL PRB COAL
